Date Time Hour Beginning,Original Res Forecast before Lockdown,Actual Residual Demand,Deviation From Original Fc,Latest Official Residual Forecast,Alert Level 1,Alert Level 2,Alert Level 3,Alert Level 4,Alert Level 5,Zero Line
2020-03-23 00:00,21291.629000000001,20930.400000000001,361.22899999999936,,0,0,0,0,0,.0
2020-03-23 01:00,21086.863000000001,20749.27,337.59300000000076,,0,0,0,0,0,.0
2020-03-23 02:00,21005.152999999998,20536.27,468.88299999999799,,0,0,0,0,0,.0
2020-03-23 03:00,21177.821,20749.400000000001,428.42099999999846,,0,0,0,0,0,.0
2020-03-23 04:00,22209.73,21663.27,546.45999999999913,,0,0,0,0,0,.0
2020-03-23 05:00,24161,23223.400000000001,937.59999999999854,,0,0,0,0,0,.0
2020-03-23 06:00,25649.152999999998,24812.73,836.42299999999886,,0,0,0,0,0,.0
2020-03-23 07:00,26604.52,26316,288.52000000000044,,0,0,0,0,0,.0
2020-03-23 08:00,27407.915000000001,27404.003000000001,3.9120000000002619,,0,0,0,0,0,.0
2020-03-23 09:00,27478.834999999999,27602.002,-123.16700000000128,,0,0,0,0,0,.0
2020-03-23 10:00,27432.775000000001,27429,3.7750000000014552,,0,0,0,0,0,.0
2020-03-23 11:00,27364.602999999999,27451,-86.397000000000844,,0,0,0,0,0,.0
2020-03-23 12:00,27207.921999999999,27227.5,-19.578000000001339,,0,0,0,0,0,.0
2020-03-23 13:00,27158.675999999999,27296,-137.32400000000052,,0,0,0,0,0,.0
2020-03-23 14:00,27257.689999999999,27335,-77.31000000000131,,0,0,0,0,0,.0
2020-03-23 15:00,27651.280999999999,27723,-71.71900000000096,,0,0,0,0,0,.0
2020-03-23 16:00,28095.422999999999,28582.097000000002,-486.67400000000271,,0,0,0,0,0,.0
2020-03-23 17:00,28594.064999999999,28943.811000000002,-349.74600000000282,,0,0,0,0,0,.0
2020-03-23 18:00,29764.013999999999,30019.09,-255.07600000000093,,0,0,0,0,0,.0
2020-03-23 19:00,29357.874,29277.758999999998,80.115000000001601,,0,0,0,0,0,.0
2020-03-23 20:00,27354.197,26885.018,469.17900000000009,,0,0,0,0,0,.0
2020-03-23 21:00,25684.523000000001,25779.101999999999,-94.578999999997905,,0,0,0,0,0,.0
2020-03-23 22:00,23829.226999999999,24437.362000000001,-608.13500000000204,,0,0,0,0,0,.0
